ID,assists,bonus,bps,CS,creativity,Gc,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,xG,expected_assists,expected_goal_involvements,xGc,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,added,chance_of_playing_next_round,chance_of_playing_this_round,code,event_points,form,news,news_added,news_return,news_updated,squad_number,total_points,web_name,position,team,name
33,0,0,22,1,0.0,3,0,2.6,25.4,180,0,0,0,0,4,0.0,1,2,0.00,0.00,0.00,4.10,4,19,0,0,2025-07-20T23:14:20.935251Z,,,72147,0,0.0,,,,,,7,M.Bizot,GK,Aston Villa,Marco Bizot
34,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.937942Z,0.0,0.0,462492,0,0.0,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,,,,0,Gauci,GK,Aston Villa,Joe Gauci
35,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.940598Z,0.0,0.0,462381,0,0.0,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,,,,0,Marschall,GK,Aston Villa,Filip Marschall
36,0,5,217,5,175.0,10,2,52.0,261.8,1146,0,0,0,0,0,82.0,3,13,0.34,1.00,1.34,15.86,52,29,23,75,2025-07-20T23:14:20.943191Z,100.0,100.0,199796,6,3.5,,2025-11-20T10:30:09.177815Z,,,,60,Cash,DEF,Aston Villa,Matty Cash
37,3,1,202,5,222.2,7,0,45.7,175.8,952,0,0,0,0,0,61.0,2,12,0.35,1.48,1.83,12.69,33,34,15,48,2025-07-20T23:14:20.945830Z,100.0,100.0,101188,7,4.5,,2025-10-23T13:30:07.954318Z,,,,50,Digne,DEF,Aston Villa,Lucas Digne
38,0,2,219,5,50.6,10,0,31.7,230.4,1055,0,0,0,1,0,35.0,0,12,0.04,0.18,0.22,15.26,64,36,7,71,2025-07-20T23:14:20.948385Z,100.0,100.0,199798,8,4.2,,2025-11-18T09:30:07.536725Z,,,,43,Konsa,DEF,Aston Villa,Ezri Konsa Ngoyo
39,0,0,38,0,79.7,4,0,16.7,57.4,214,0,0,0,0,0,29.0,1,1,0.25,0.21,0.46,4.10,15,14,7,22,2025-07-20T23:14:20.951001Z,,,441302,0,0.5,,,,,,7,Maatsen,DEF,Aston Villa,Ian Maatsen
40,0,1,87,2,44.6,6,0,19.0,120.2,497,0,0,0,0,0,25.0,0,6,0.33,0.09,0.42,8.78,39,16,2,41,2025-07-20T23:14:20.953563Z,0.0,0.0,149484,0,0.2,Hamstring injury - Expected back 23 Nov,2025-11-02T00:00:09.519584Z,,,,24,Mings,DEF,Aston Villa,Tyrone Mings
41,0,2,159,3,15.2,7,0,21.4,175.0,777,0,0,0,0,0,22.0,0,8,0.22,0.19,0.41,10.11,49,44,11,60,2025-07-20T23:14:20.956174Z,,,244954,6,4.2,,,,,,35,Pau,DEF,Aston Villa,Pau Torres
42,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.958835Z,100.0,100.0,606798,0,0.0,,2025-10-23T13:30:07.986013Z,,,,0,A.García,DEF,Aston Villa,Andrés García
43,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.961423Z,0.0,0.0,106468,0,0.0,Has joined Girona permanently.,2025-08-26T13:45:03.013808Z,,,,0,Alex Moreno,DEF,Aston Villa,Álex Moreno Lopera
44,0,3,57,1,32.7,2,0,7.2,33.6,299,0,0,0,0,0,6.0,1,3,0.00,0.09,0.09,3.77,7,12,6,13,2025-07-20T23:14:20.964063Z,100.0,100.0,515597,1,0.8,,2025-11-20T10:30:09.224047Z,,,,18,Bogarde,DEF,Aston Villa,Lamare Bogarde
45,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.966638Z,,,514315,0,0.0,,,,,,0,Sousa,DEF,Aston Villa,Lino da Cruz Sousa
46,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.969212Z,0.0,0.0,587178,0,0.0,has joined Anderlecht on loan for the rest of the season.,2025-09-22T21:15:59.805053Z,,,,0,Yasin,DEF,Aston Villa,Yasin Özcan
47,2,3,167,5,179.3,11,3,62.1,219.8,1156,0,0,0,0,0,223.0,2,13,0.99,1.04,2.03,16.70,16,48,13,77,2025-07-20T23:14:20.971829Z,100.0,100.0,244850,3,5.2,,2025-08-10T22:00:04.458365Z,,,,53,Rogers,MID,Aston Villa,Morgan Rogers
